V_T_psi_all,V_T_phi_all,running_min_all,V_T_psi_minus_V_T_phi_all
3.7857326687760633,-165.55564952072027,-165.55564952072027,169.34138218949633
143.60520247080376,10.814722090107864,-19.658950874239174,132.7904803806959
132.9854843654639,-19.65121089087458,-92.71117683954631,152.63669525633847
171.93901497894694,53.42794046348247,-3.2047662078164194,118.51107451546447
158.42181616670678,66.54335836085968,1.283122286367444,91.87845780584709
15.423308194046513,-176.8362251893112,-186.06046313060116,192.2595333833577
1757.3909604324008,1631.0674853068842,-72.0294089658692,126.32347512551655
203.77336959071,17.68590669528973,-141.20414944399144,186.08746289542026
852.1135772834277,723.1105020363082,-2.452620801106349,129.00307524711957
6.858028916157423,-169.02977440655178,-173.1144615619898,175.8878033227092
80.24760123220585,-111.48779497533229,-149.66030286432297,191.73539620753814
1735.1500309505755,1663.302480313062,0.15216363684280054,71.84755063751345
1455.5838232167962,1323.3259268277734,-22.288222401205637,132.2578963890228
506.22570001552685,356.1106272569326,-20.196990765048675,150.11507275859424
335.458858648597,230.1850749260753,-17.376700910089113,105.27378372252173
1200.4935066780963,1076.0882723674117,-18.95199928116945,124.40523431068459
958.996007254822,810.1776536690376,-29.035127922907563,148.8183535857844
637.0209614162277,510.5623684986945,-20.130478171825708,126.45859291753317
118.8154398835959,-29.386571710638776,-109.29099734199143,148.20201159423468
703.168841369622,568.8002049138644,-35.003163663290316,134.3686364557576
105.9967182774335,-100.48566572846471,-138.5551681232271,206.4823840058982
28.608727900334543,-128.1290742188975,-146.89351950129935,156.73780211923204
28.493932355572497,-186.8840239060445,-198.08735720458947,215.377956261617
11.386941396186558,-214.07663338823073,-221.18351776099792,225.4635747844173
0.15680188788860505,-151.14190557448953,-151.14190557448953,151.29870746237813
739.7203794029774,592.7698869101519,-106.3527799910678,146.95049249282556
1.0132197482728884,-192.02299062394428,-192.02299062394428,193.03621037221717
42.17669360261334,-169.7292432837647,-190.06013840903452,211.90593688637804
16.04035346836497,-177.03156925618333,-190.80903131443262,193.0719227245483
1014.4229035303488,884.2657321329121,-48.278715601835415,130.15717139743663
1174.778959704131,1016.0635373988315,-73.05320104281493,158.7154223052995
568.7749369365056,400.86918102548725,-122.01762313187514,167.90575591101833
252.09558248822395,61.07215634929108,-114.11453980456727,191.02342613893288
61.02919102001533,-97.74000383322874,-97.74000383322874,158.76919485324407
167.35882786237744,-21.292395555699585,-159.6880520157133,188.65122341807702
758.0804198815867,646.3220417286082,0.5939608518618797,111.7583781529786
119.31521015584485,-92.07306494563466,-185.65007433583006,211.3882751014795
-0.25558155662380955,-193.46019065628187,-193.46019065628187,193.20460909965806
55.251908379027554,-127.55331343747471,-149.34809826282066,182.80522181650227
421.5195273680956,227.45725415447876,-132.49282434767707,194.06227321361686
1149.960114288985,1083.7205124768834,-0.03525027554789517,66.23960181210168
1060.381119525745,948.7756756546162,-18.309917341009104,111.60544387112873
634.2809635915937,522.7662890855623,-22.26778582818396,111.51467450603138
97.57388365808038,-51.58387647765127,-133.93962859930298,149.15776013573165
104.15747524270455,-84.74715933401941,-179.07579060137314,188.90463457672396
128.83046546849437,-43.56568062366384,-116.70078813449138,172.3961460921582
1104.4822442969116,1018.054469083065,-20.231661861100427,86.42777521384664
210.76415322618686,52.121614076307054,-95.3009094600165,158.6425391498798
1389.6378977320874,1238.0267744548155,-107.84623584401814,151.61112327727187
60.358237030240616,-119.32675317634516,-119.32675317634516,179.68499020658578
100.46650367840675,-69.45692643158031,-104.34833027907786,169.92343010998707
107.55650327174908,-33.15466479500657,-75.8737562384278,140.71116806675565
58.392322568115105,-129.09002601713453,-129.94801604690747,187.48234858524964
849.3964000846972,736.8709579967294,-17.683460239104758,112.5254420879678
1772.4540579262812,1670.6621455611803,-56.299364677269665,101.79191236510087
209.29098837980473,23.62168915634274,-111.27121976183008,185.669299223462
712.5523676153907,565.7617958961639,-87.65355312716989,146.79057171922682
-0.1407156422195328,-192.3453126202439,-192.3453126202439,192.20459697802437
190.6700247783001,9.536490099982728,-108.6782552109461,181.13353467831737
543.0755731278632,417.2571422627685,-51.440812677258265,125.81843086509468
7.07122412496318,-163.70525219454143,-169.15771280426705,170.7764763195046
129.2654362349258,-75.33033005171933,-136.35984347041682,204.59576628664513
132.0266579088384,-31.47745209820073,-121.82871017629446,163.50411000703912
1423.5139828313631,1322.8505902228264,-10.328166829415125,100.6633926085367
15.874831764151622,-173.84744447167068,-182.8803678775681,189.7222762358223
19.51421664254144,-153.79548083156587,-166.3430990036902,173.3096974741073
570.1726995425079,409.362652625839,-84.68011953613674,160.81004691666885
695.6139906709996,529.4884825656718,-97.1620735726381,166.12550810532775
166.35241939815114,-13.464271661373687,-82.27185721916783,179.81669105952483
350.0323480523075,191.63413379836314,-62.38417647766434,158.39821425394436
1252.6878398169338,1155.7228367225707,0.8629190167457637,96.96500309436306
753.453654482697,624.7302747048622,-24.189450921040446,128.7233797778348
526.2193283415436,434.8587118507276,-10.937451268301288,91.36061649081597
298.894149960046,177.84680035490953,-4.731954387332628,121.04734960513645
944.9201244834567,804.3346988763003,-10.10626832147392,140.58542560715637
1216.076690969884,1068.0728615011644,-60.43205136961235,148.0038294687197
107.86941423922417,-84.34986626734278,-172.02463536220884,192.21928050656695
1060.4959029919,867.5524338077464,-107.35075257327651,192.94346918415363
50.3369120653183,-101.74887696208751,-126.996878556316,152.0857890274058
134.41756505847252,-84.73661169520139,-159.10727079016618,219.1541767536739
326.59472199174706,155.9083192203177,-135.97906579181043,170.68640277142936
