V_T_psi_all,V_T_phi_all,running_min_all,V_T_psi_minus_V_T_phi_all
1757.692626860171,1757.692626860171,1757.692626860171,1757.692626860171
523.360491634483,523.360491634483,523.360491634483,523.360491634483
1020.2731746969002,1020.2731746969002,1020.2731746969002,1020.2731746969002
1131.9811021887763,1131.9811021887763,1131.9811021887763,1131.9811021887763
1820.4110893318175,1820.4110893318175,1820.4110893318175,1820.4110893318175
586.7893700167697,586.7893700167697,586.7893700167697,586.7893700167697
883.6620252730281,883.6620252730281,883.6620252730281,883.6620252730281
3105.9258092439686,3105.9258092439686,3105.9258092439686,3105.9258092439686
2001.9174186409764,2001.9174186409764,2001.9174186409764,2001.9174186409764
1845.0744649355565,1845.0744649355565,1845.0744649355565,1845.0744649355565
1737.3634799588344,1737.3634799588344,1737.3634799588344,1737.3634799588344
2035.6336265577156,2035.6336265577156,2035.6336265577156,2035.6336265577156
642.1407666286086,642.1407666286086,642.1407666286086,642.1407666286086
357.64772353543776,357.64772353543776,357.64772353543776,357.64772353543776
1680.0794666880938,1680.0794666880938,1680.0794666880938,1680.0794666880938
232.82557084485506,232.82557084485506,232.82557084485506,232.82557084485506
847.5819513968036,847.5819513968036,847.5819513968036,847.5819513968036
2194.0490787697327,2194.0490787697327,2194.0490787697327,2194.0490787697327
613.0781842304277,613.0781842304277,613.0781842304277,613.0781842304277
792.8894747624308,792.8894747624308,792.8894747624308,792.8894747624308
314.72941157747664,314.72941157747664,314.72941157747664,314.72941157747664
1340.7676983857436,1340.7676983857436,1340.7676983857436,1340.7676983857436
1871.4357763306434,1871.4357763306434,1871.4357763306434,1871.4357763306434
1117.8830798485305,1117.8830798485305,1117.8830798485305,1117.8830798485305
146.96606486617657,146.96606486617657,146.96606486617657,146.96606486617657
1081.6172608015477,1081.6172608015477,1081.6172608015477,1081.6172608015477
1843.6299959212283,1843.6299959212283,1843.6299959212283,1843.6299959212283
864.1806568669563,864.1806568669563,864.1806568669563,864.1806568669563
67.48109758380997,67.48109758380997,67.48109758380997,67.48109758380997
277.8710515964149,277.8710515964149,277.8710515964149,277.8710515964149
727.1485327449991,727.1485327449991,727.1485327449991,727.1485327449991
1535.3691949002532,1535.3691949002532,1535.3691949002532,1535.3691949002532
3013.6240575203774,3013.6240575203774,3013.6240575203774,3013.6240575203774
140.07772516921887,140.07772516921887,140.07772516921887,140.07772516921887
972.0198086502423,972.0198086502423,972.0198086502423,972.0198086502423
1311.991841053643,1311.991841053643,1311.991841053643,1311.991841053643
205.53040464339392,205.53040464339392,205.53040464339392,205.53040464339392
157.53828831903866,157.53828831903866,157.53828831903866,157.53828831903866
3109.56756633596,3109.56756633596,3109.56756633596,3109.56756633596
448.05548158059537,448.05548158059537,448.05548158059537,448.05548158059537
204.56041565421765,204.56041565421765,204.56041565421765,204.56041565421765
723.68054668082,723.68054668082,723.68054668082,723.68054668082
251.88493640699653,251.88493640699653,251.88493640699653,251.88493640699653
2320.067268453926,2320.067268453926,2320.067268453926,2320.067268453926
871.7071752606553,871.7071752606553,871.7071752606553,871.7071752606553
1333.1747874507873,1333.1747874507873,1333.1747874507873,1333.1747874507873
208.50235155799328,208.50235155799328,208.50235155799328,208.50235155799328
116.7816660801036,116.7816660801036,116.7816660801036,116.7816660801036
531.8723836529462,531.8723836529462,531.8723836529462,531.8723836529462
299.29250613126624,299.29250613126624,299.29250613126624,299.29250613126624
789.2252899717987,789.2252899717987,789.2252899717987,789.2252899717987
216.22201979776582,216.22201979776582,216.22201979776582,216.22201979776582
60.400923096069164,60.400923096069164,60.400923096069164,60.400923096069164
354.72650394636185,354.72650394636185,354.72650394636185,354.72650394636185
755.4335564376634,755.4335564376634,755.4335564376634,755.4335564376634
1519.0454777587056,1519.0454777587056,1519.0454777587056,1519.0454777587056
1657.1378488284827,1657.1378488284827,1657.1378488284827,1657.1378488284827
-0.021631312011464843,-0.021631312011464843,-0.021631312011464843,-0.021631312011464843
3423.579148164972,3423.579148164972,3423.579148164972,3423.579148164972
29.343733999413416,29.343733999413416,29.343733999413416,29.343733999413416
503.7808886651401,503.7808886651401,503.7808886651401,503.7808886651401
39.608128891240085,39.608128891240085,39.608128891240085,39.608128891240085
164.54640528216623,164.54640528216623,164.54640528216623,164.54640528216623
293.69605242952457,293.69605242952457,293.69605242952457,293.69605242952457
142.39625416589297,142.39625416589297,142.39625416589297,142.39625416589297
134.64331097810827,134.64331097810827,134.64331097810827,134.64331097810827
1601.6708455776588,1601.6708455776588,1601.6708455776588,1601.6708455776588
5.308428920327742,5.308428920327742,5.308428920327742,5.308428920327742
1815.5862561789818,1815.5862561789818,1815.5862561789818,1815.5862561789818
1.9341167373771952,1.9341167373771952,1.9341167373771952,1.9341167373771952
1492.514750257551,1492.514750257551,1492.514750257551,1492.514750257551
883.5001875810503,883.5001875810503,883.5001875810503,883.5001875810503
42.41285206073644,42.41285206073644,42.41285206073644,42.41285206073644
2191.1813447733184,2191.1813447733184,2191.1813447733184,2191.1813447733184
204.76237137962744,204.76237137962744,204.76237137962744,204.76237137962744
993.1622011581167,993.1622011581167,993.1622011581167,993.1622011581167
438.9065835329384,438.9065835329384,438.9065835329384,438.9065835329384
894.398097784504,894.398097784504,894.398097784504,894.398097784504
522.4998321082694,522.4998321082694,522.4998321082694,522.4998321082694
73.28287074743639,73.28287074743639,73.28287074743639,73.28287074743639
132.35604857539965,132.35604857539965,132.35604857539965,132.35604857539965
671.2481491093586,671.2481491093586,671.2481491093586,671.2481491093586
618.6487015912389,618.6487015912389,618.6487015912389,618.6487015912389
901.3236087400783,901.3236087400783,901.3236087400783,901.3236087400783
102.12741095210367,102.12741095210367,102.12741095210367,102.12741095210367
679.7981700469991,679.7981700469991,679.7981700469991,679.7981700469991
66.81988292515871,66.81988292515871,66.81988292515871,66.81988292515871
185.17424711847525,185.17424711847525,185.17424711847525,185.17424711847525
1757.7671389654806,1757.7671389654806,1757.7671389654806,1757.7671389654806
521.6673306793027,521.6673306793027,521.6673306793027,521.6673306793027
480.3150299112567,480.3150299112567,480.3150299112567,480.3150299112567
435.92809022431356,435.92809022431356,435.92809022431356,435.92809022431356
255.12470471064444,255.12470471064444,255.12470471064444,255.12470471064444
197.79452271462833,197.79452271462833,197.79452271462833,197.79452271462833
1891.6233875110447,1891.6233875110447,1891.6233875110447,1891.6233875110447
13.78157881119023,13.78157881119023,13.78157881119023,13.78157881119023
201.6879651481322,201.6879651481322,201.6879651481322,201.6879651481322
2211.966166886479,2211.966166886479,2211.966166886479,2211.966166886479
680.8830601580667,680.8830601580667,680.8830601580667,680.8830601580667
2830.1905235123922,2830.1905235123922,2830.1905235123922,2830.1905235123922
1044.043280323638,1044.043280323638,1044.043280323638,1044.043280323638
27.14539490373545,27.14539490373545,27.14539490373545,27.14539490373545
3002.450890874181,3002.450890874181,3002.450890874181,3002.450890874181
32.51336295069041,32.51336295069041,32.51336295069041,32.51336295069041
690.6471706835891,690.6471706835891,690.6471706835891,690.6471706835891
1067.439620573552,1067.439620573552,1067.439620573552,1067.439620573552
501.32689590395785,501.32689590395785,501.32689590395785,501.32689590395785
2054.641877204953,2054.641877204953,2054.641877204953,2054.641877204953
1498.0029405602309,1498.0029405602309,1498.0029405602309,1498.0029405602309
137.5882662921622,137.5882662921622,137.5882662921622,137.5882662921622
106.74014928982706,106.74014928982706,106.74014928982706,106.74014928982706
272.92724014206215,272.92724014206215,272.92724014206215,272.92724014206215
1414.0279391359836,1414.0279391359836,1414.0279391359836,1414.0279391359836
